ALUNO,TURMA,Acertos parte A,Q17,Q18
bW7mLS2P,PMQ351,10,0,10
OhmUmkPK,QM161,10,0,5
IQQzr1i9,QM161,9,0,5
HqKSZosK,MAM261,7,0,10
iZ3OOR1S,QM161,9,0,0
QmG9nZwy,QM161,6,5,5
XoqTMy2g,QM161,7,0,5
7snGfrYm,QM161,8,0,0
FoKsugVV,AM261,8,0,0
ZBziEYTT,QM161,8,0,0
OGRyvyvs,QM161,8,0,0
IhJ0Pgtm,QM161,8,0,0
8TmPfKxg,QM161,5,2,10
OWDfEyZM,QM161,7,0,0
8FUREno7,QM161,6,0,0
BNs7Yy6I,QM161,6,0,0
0cYKchbb,QM161,5,5,0
IzkfLMlA,QM161,6,0,0
yWFR3Ovk,FM161,4,0,5
Q4k8NRly,FM161,5,0,0
6QrPYyMf,QM161,5,0,0
mvWRfs3J,QM161,4,0,0
OKtqx9J8,FM161,2,0,0
yTD2mujA,QM381,,,
mOKQwrZc,BM171,,,
l7v49gVu,QM171,,,
LjN3qvjC,MAM261,,,
BZyIvRQU,QM161,,,
DQNcm68h,MAM261,,,
aIl85zmD,QM171,,,
VFrnLedf,FM161,,,
733cyNc7,MAM261,,,
YkQ3Kpw4,BM171,,,
YEbXUZ8I,BM161,,,
YI3upZHE,AM261,,,
ZwhLIHCA,QM171,,,
BBmUXYji,QM171,,,
L97HgBIY,QM381,,,
BtZzQ1ci,BM161,,,
RvrPDaDo,MAM261,,,
lAv6fe8H,MAM261,,,
G5cev5aW,FM171,,,
IvlhHyfv,QM161,,,
GDnBA6k4,BM161,,,
kRYw1K5d,QM381,,,
YTcJYfSW,BM171,,,
g29JBrUy,QM171,,,
d5TBY2CM,BM171,,,
QGiqyg4H,QM381,,,
KsD0FRQu,QM381,,,
