ALUNO,TURMA,Acertos parte A,Q17,Q18
OKu4gSfE,QM151,15,5,10
AmZw0qUO,QM141,11,10,10
fFvtEAT4,AM241,13,5,0
smFiIup1,AM241,13,0,0
UdBkP5fc,FM141,13,0,0
XBOoSJsS,MAM241,11,8,0
okapRKkD,QM141,9,6,10
XMZciuPO,MAM241,11,5,0
FWwLq15p,QM151,12,0,0
6yV1cBPt,BM151,11,1,0
VKq5m675,QM141,11,0,0
oeAViCyL,QM151,11,0,0
IfuBGOnX,QM141,8,5,10
ht9rJxXo,AM251,11,0,0
yXinnYZz,AM241,11,0,0
BgBrVh94,QM141,10,5,0
PjDyykKY,QM151,10,1,0
eHriK2Sy,QM141,10,1,0
e4oGWePp,AM251,10,0,0
Kx3rSQXm,QM151,10,0,0
FoSsBljn,QM151,9,4,0
xP3OxMm3,QM141,6,5,10
A5RP1v6W,BM141,7,0,10
xWsh1U2D,FM151,9,0,0
AoF8MXmD,AM241,9,0,0
PFgJiOL8,BM151,8,0,0
QPvEQmzl,MAM241,7,5,0
pd2rCnvn,AM241,8,0,0
fVzWbx3J,FM151,7,2,0
YEk320KR,FM141,7,0,0
9ZTowdgE,FM151,7,0,0
j1njAlka,AM241,6,0,0
jzOP5OmO,AM251,6,0,0
JPVzHTQM,AM241,5,4,0
ZFqz3189,AM251,5,0,0
4UzXb4lb,BM151,5,0,0
uorrLvVe,QM141,5,0,0
BRncv2cv,FM141,5,0,0
5UGbTytz,FM141,4,0,0
qzzag3LC,AM241,3,0,0
1N8t3pq9,BM151,,,
Y2yuIt3T,FM151,,,
7QZnwJ3k,MAM251,,,
fjxT60wK,AM241,,,
zRnY5OXa,QM141,,,
CZFre5OF,BM141,,,
WZjJDf7c,QM151,,,
3HnLDAij,MAM251,,,
qRynYFe0,MAM241,,,
8rMek47X,QM151,,,
2sMr1wy5,QM151,,,
whlxUJqD,BM151,,,
78yn64QU,AM251,,,
y2EOr4k4,AM241,,,
xVvx92jL,BM151,,,
mt0QOzwr,FM151,,,
TRXkUnXs,BM151,,,
srBcFdbR,QM151,,,
DLGff9TL,QM151,,,
rrgyc8Hb,BM151,,,
nisKNAct,MAM251,,,
5fQn2NaO,FM141,,,
qb7PhcBI,FM151,,,
IlaD0Rbq,QM131,,,
dHOs8SAb,BM151,,,
