,ALUNO,TURMA,Acertos parte A,Q17,Q18,Pontos - Objetiva,Pontos - Discursiva,Pontuação final
1,OKu4gSfE,QM151,15.0,5.0,10.0,75.0,15.0,90.0
2,AmZw0qUO,QM141,11.0,10.0,10.0,55.0,20.0,75.0
3,fFvtEAT4,AM241,13.0,5.0,0.0,65.0,5.0,70.0
4,smFiIup1,AM241,13.0,0.0,0.0,65.0,0.0,65.0
5,UdBkP5fc,FM141,13.0,0.0,0.0,65.0,0.0,65.0
6,XBOoSJsS,MAM241,11.0,8.0,0.0,55.0,8.0,63.0
7,okapRKkD,QM141,9.0,6.0,10.0,45.0,16.0,61.0
8,XMZciuPO,MAM241,11.0,5.0,0.0,55.0,5.0,60.0
9,FWwLq15p,QM151,12.0,0.0,0.0,60.0,0.0,60.0
10,6yV1cBPt,BM151,11.0,1.0,0.0,55.0,1.0,56.0
11,IfuBGOnX,QM141,8.0,5.0,10.0,40.0,15.0,55.0
12,BgBrVh94,QM141,10.0,5.0,0.0,50.0,5.0,55.0
13,VKq5m675,QM141,11.0,0.0,0.0,55.0,0.0,55.0
14,oeAViCyL,QM151,11.0,0.0,0.0,55.0,0.0,55.0
15,ht9rJxXo,AM251,11.0,0.0,0.0,55.0,0.0,55.0
16,yXinnYZz,AM241,11.0,0.0,0.0,55.0,0.0,55.0
17,PjDyykKY,QM151,10.0,1.0,0.0,50.0,1.0,51.0
18,eHriK2Sy,QM141,10.0,1.0,0.0,50.0,1.0,51.0
19,e4oGWePp,AM251,10.0,0.0,0.0,50.0,0.0,50.0
20,Kx3rSQXm,QM151,10.0,0.0,0.0,50.0,0.0,50.0
21,FoSsBljn,QM151,9.0,4.0,0.0,45.0,4.0,49.0
22,xP3OxMm3,QM141,6.0,5.0,10.0,30.0,15.0,45.0
23,A5RP1v6W,BM141,7.0,0.0,10.0,35.0,10.0,45.0
24,xWsh1U2D,FM151,9.0,0.0,0.0,45.0,0.0,45.0
25,AoF8MXmD,AM241,9.0,0.0,0.0,45.0,0.0,45.0
26,QPvEQmzl,MAM241,7.0,5.0,0.0,35.0,5.0,40.0
27,PFgJiOL8,BM151,8.0,0.0,0.0,40.0,0.0,40.0
28,pd2rCnvn,AM241,8.0,0.0,0.0,40.0,0.0,40.0
29,fVzWbx3J,FM151,7.0,2.0,0.0,35.0,2.0,37.0
30,YEk320KR,FM141,7.0,0.0,0.0,35.0,0.0,35.0
31,9ZTowdgE,FM151,7.0,0.0,0.0,35.0,0.0,35.0
32,j1njAlka,AM241,6.0,0.0,0.0,30.0,0.0,30.0
33,jzOP5OmO,AM251,6.0,0.0,0.0,30.0,0.0,30.0
34,JPVzHTQM,AM241,5.0,4.0,0.0,25.0,4.0,29.0
35,ZFqz3189,AM251,5.0,0.0,0.0,25.0,0.0,25.0
36,4UzXb4lb,BM151,5.0,0.0,0.0,25.0,0.0,25.0
37,uorrLvVe,QM141,5.0,0.0,0.0,25.0,0.0,25.0
38,BRncv2cv,FM141,5.0,0.0,0.0,25.0,0.0,25.0
39,5UGbTytz,FM141,4.0,0.0,0.0,20.0,0.0,20.0
40,qzzag3LC,AM241,3.0,0.0,0.0,15.0,0.0,15.0
