,ALUNO,TURMA,Acertos parte A,Q17,Q18,Pontos - Objetiva,Pontos - Discursiva,Pontuação final
1,bW7mLS2P,PMQ351,10.0,0.0,10.0,50.0,10.0,60.0
2,OhmUmkPK,QM161,10.0,0.0,5.0,50.0,5.0,55.0
3,IQQzr1i9,QM161,9.0,0.0,5.0,45.0,5.0,50.0
4,HqKSZosK,MAM261,7.0,0.0,10.0,35.0,10.0,45.0
5,iZ3OOR1S,QM161,9.0,0.0,0.0,45.0,0.0,45.0
6,QmG9nZwy,QM161,6.0,5.0,5.0,30.0,10.0,40.0
7,XoqTMy2g,QM161,7.0,0.0,5.0,35.0,5.0,40.0
8,7snGfrYm,QM161,8.0,0.0,0.0,40.0,0.0,40.0
9,FoKsugVV,AM261,8.0,0.0,0.0,40.0,0.0,40.0
10,ZBziEYTT,QM161,8.0,0.0,0.0,40.0,0.0,40.0
11,OGRyvyvs,QM161,8.0,0.0,0.0,40.0,0.0,40.0
12,IhJ0Pgtm,QM161,8.0,0.0,0.0,40.0,0.0,40.0
13,8TmPfKxg,QM161,5.0,2.0,10.0,25.0,12.0,37.0
14,OWDfEyZM,QM161,7.0,0.0,0.0,35.0,0.0,35.0
15,0cYKchbb,QM161,5.0,5.0,0.0,25.0,5.0,30.0
16,8FUREno7,QM161,6.0,0.0,0.0,30.0,0.0,30.0
17,BNs7Yy6I,QM161,6.0,0.0,0.0,30.0,0.0,30.0
18,IzkfLMlA,QM161,6.0,0.0,0.0,30.0,0.0,30.0
19,yWFR3Ovk,FM161,4.0,0.0,5.0,20.0,5.0,25.0
20,Q4k8NRly,FM161,5.0,0.0,0.0,25.0,0.0,25.0
21,6QrPYyMf,QM161,5.0,0.0,0.0,25.0,0.0,25.0
22,mvWRfs3J,QM161,4.0,0.0,0.0,20.0,0.0,20.0
23,OKtqx9J8,FM161,2.0,0.0,0.0,10.0,0.0,10.0
